ticker,company name,short name,industry,exchange,sector,tag 1,tag 2,tag 3
A,Agilent Technologies Inc.,Agilent,Medical Diagnostics & Research,New York Stock Exchange,Healthcare,Healthcare,Diagnostics & Research,Medical Diagnostics & Research
AA,Alcoa Corporation,Alcoa,Metals & Mining,New York Stock Exchange,Basic Materials,Basic Materials,Aluminum,Metals & Mining
AABA,Altaba Inc.,Altaba,Asset Management,Nasdaq Global Select,Financial Services,Financial Services,Asset Management,
AAC,AAC Holdings Inc.,AAC,Health Care Providers,New York Stock Exchange,Healthcare,Healthcare,Medical Care,Health Care Providers
AADR,AdvisorShares Dorsey Wright ADR,AdvisorShares Dorsey Wright,,NYSE Arca,,,,
AAL,American Airlines Group Inc.,American Airlines,Airlines,Nasdaq Global Select,Industrials,Industrials,Airlines,
AAMC,Altisource Asset Management Corp Com,Altisource Asset Management,Asset Management,NYSE American,Financial Services,Financial Services,Asset Management,
AAME,Atlantic American Corporation,Atlantic American,Insurance - Life,NASDAQ Global Market,Financial Services,Financial Services,Insurance - Life,
AAN,Aaron's Inc.,Aaron's,Consulting & Outsourcing,New York Stock Exchange,Industrials,Industrials,Rental & Leasing Services,Consulting & Outsourcing
AAOI,Applied Optoelectronics Inc.,Applied Optoelectronics,Semiconductors,NASDAQ Global Market,Technology,Technology,Semiconductors,
AAON,AAON Inc.,AAON,Building Materials,Nasdaq Global Select,Basic Materials,Basic Materials,Building Materials,
AAP,Advance Auto Parts Inc W/I,Advance Auto Parts,Retail - Apparel & Specialty,New York Stock Exchange,Consumer Cyclical,Consumer Cyclical,Specialty Retail,Retail - Apparel & Specialty
AAPL,Apple Inc.,Apple,Computer Hardware,Nasdaq Global Select,Technology,Technology,Consumer Electronics,Computer Hardware
AAT,American Assets Trust Inc.,American Assets Trust,REITs,New York Stock Exchange,Real Estate,Real Estate,REIT - Retail,REITs
AAU,Almaden Minerals Ltd.,Almaden Minerals,Metals & Mining,NYSE American,Basic Materials,Basic Materials,Gold,Metals & Mining
AAWW,Atlas Air Worldwide Holdings,Atlas Air Worldwide,Transportation & Logistics,Nasdaq Global Select,Industrials,Industrials,Airports & Air Services,Transportation & Logistics
AAXJ,iShares MSCI All Country Asia ex Japan Index Fund,iShares MSCI All Country Asia ex Japan Index Fund,,NASDAQ Global Market,,,,
AAXN,Axon Enterprise Inc.,Axon Enterprise,Aerospace & Defense,Nasdaq Global Select,Industrials,Industrials,Aerospace & Defense,
AB,AllianceBernstein Holding L.P. Units,AllianceBernstein Holding Units,Asset Management,New York Stock Exchange,Financial Services,Financial Services,Asset Management,
ABB,ABB Ltd,ABB,Industrial Products,New York Stock Exchange,Industrials,Industrials,Diversified Industrials,Industrial Products
